date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:08	51306/51306	---M--	200	added ('OK')	image/jpeg	etag:%22c86a-63c82345-17ec45c74a7e1034;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/service/service11.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/service/service11.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:09	47738/47738	---M--	200	added ('OK')	image/jpeg	etag:%22ba7a-63c82345-87a79c90c4869449;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/service/service14.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/service/service14.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:09	198676/198676	---M--	200	added ('OK')	image/jpeg	etag:%2230814-63c82345-36577866edc2cd48;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/banner/banner-3-3.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/banner/banner-3-3.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:09	34798/34798	---M--	200	added ('OK')	image/jpeg	etag:%2287ee-63c82345-d45477857a78d94;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/service/service15.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/service/service15.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:09	47067/47067	---M--	200	added ('OK')	image/jpeg	etag:%22b7db-63c82345-ac1227685db799ac;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/service/service16.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/service/service16.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:09	72335/72335	---M--	200	added ('OK')	image/png	etag:%2211a8f-63c82345-d4c47c0e02e62ac3;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/shape/fire-extinguiser.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/shape/fire-extinguiser.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:10	105947/105947	---M--	200	added ('OK')	image/jpeg	etag:%2219ddb-63c82345-59950e360f095c2b;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/about/about-thumb-3-1.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/about/about-thumb-3-1.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:10	104497/104497	---M--	200	added ('OK')	image/jpeg	etag:%2219831-63c82345-5c40d000a87f6385;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/about/about-thumb-3-2.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/about/about-thumb-3-2.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:10	71559/71559	---M--	200	added ('OK')	image/png	etag:%2211787-63c82345-7a584eb19d6b698a;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/about/about-thumb-3-3.png	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/about/about-thumb-3-3.png	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:11	60714/60714	---M--	200	added ('OK')	image/jpeg	etag:%22ed2a-63c82345-4b6f2e3e1b1ec1fd;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/service/service9.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/service/service9.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:11	61398/61398	---M--	200	added ('OK')	image/jpeg	etag:%22efd6-63c82345-9c5735866bad3f38;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/service/service10.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/service/service10.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:11	161613/161613	---M--	200	added ('OK')	image/jpeg	etag:%222774d-63c82345-e270e2bdc816fc07;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/bg/team.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/bg/team.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:11	36846/36846	---M--	200	added ('OK')	image/jpeg	etag:%228fee-63c82345-8be4c702db91103c;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-4.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-4.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:12	29817/29817	---M--	200	added ('OK')	image/jpeg	etag:%227479-63c82345-bcbd7aeee6b4a367;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-5.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-5.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:12	37348/37348	---M--	200	added ('OK')	image/jpeg	etag:%2291e4-63c82345-aabaea2aaf1e6e85;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-6.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-6.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:12	96539/96539	---M--	200	added ('OK')	image/jpeg	etag:%221791b-63c82345-5c605d9971aec697;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-7.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-7.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
15:29:13	47621/47621	---M--	200	added ('OK')	image/jpeg	etag:%22ba05-63c82345-5796d02aab0fabfa;;;%22	https://codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-8.jpg	C:/Users/admin/Downloads/fire/codeskdhaka.com/html/armado-prev/armado/assets/img/team/team-8.jpg	(from https://codeskdhaka.com/html/armado-prev/armado/index-3.html)
